filepath,testclass,testname,assertion type,line number,assert string
task2results/vision-main/test/test_transforms_v2_utils.py,test_has_any,test_has_any,approximate,54,"assert (has_any(sample, *types) is expected)"
task2results/vision-main/test/test_transforms_v2_utils.py,test_has_all,test_has_all,approximate,92,"assert (has_all(sample, *types) is expected)"
task2results/vision-main/test/test_utils.py,test_draw_segmentation_masks,test_draw_segmentation_masks,approximate,221,assert (out is not img)
task2results/vision-main/test/test_utils.py,test_draw_segmentation_masks_dtypes,test_draw_segmentation_masks_dtypes,approximate,258,assert (img_uint8 is not out_uint8)
task2results/vision-main/test/test_utils.py,test_draw_segmentation_masks_dtypes,test_draw_segmentation_masks_dtypes,approximate,264,assert (img_float is not out_float)
task2results/vision-main/test/test_utils.py,test_draw_keypoints_dtypes,test_draw_keypoints_dtypes,approximate,443,assert (out_uint8 is not image_uint8)
task2results/vision-main/test/test_utils.py,test_draw_keypoints_dtypes,test_draw_keypoints_dtypes,approximate,446,assert (out_float is not image_float)
task2results/vision-main/test/test_transforms_video.py,test_center_crop_video,test_center_crop_video,approximate,95,"assert (sum1.item() > 1), msg"
task2results/vision-main/test/test_transforms_video.py,test_center_crop_video,test_center_crop_video,approximate,110,"assert (sum2.item() > 1), msg"
task2results/vision-main/test/test_transforms_video.py,test_center_crop_video,test_center_crop_video,approximate,111,"assert (sum2.item() > sum1.item()), msg"
task2results/vision-main/test/test_prototype_datasets_utils.py,test_preprocess_extract,test_preprocess_extract,approximate,208,"assert (files is not None), '`download_fn()` was never called'"
task2results/vision-main/test/test_prototype_datasets_utils.py,test_resolve_to_http,test_resolve_to_http,approximate,257,assert (redirected_resource._preprocess is preprocess_sentinel)
task2results/vision-main/test/test_prototype_datasets_utils.py,test_resolve_to_gdrive,test_resolve_to_gdrive,approximate,284,assert (redirected_resource._preprocess is preprocess_sentinel)
task2results/vision-main/test/test_datasets_utils.py,test_get_google_drive_file_id_invalid_url,test_get_google_drive_file_id_invalid_url,approximate,91,assert (utils._get_google_drive_file_id(url) is None)
task2results/vision-main/test/test_datasets.py,test_no_target,test_no_target,approximate,615,assert (target is None)
